H;88;;;00016757;20120325;20120317;20120323;
S;054;0;0;;
S;074;0;0;;
D;20009821;高露洁防蛀美白90g送50g支;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;20009823;高露洁适齿牙刷中毛买2送2组;605;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;20112961;高露洁草本翠爽牙膏90g盒;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;20113033;高露洁草本翠爽牙膏140g支;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;20429801;高露洁草本牙膏140g送25g支;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;20460738;高露洁360度超细牙刷支;605;
S;028;7;71.2;12.99;
S;054;13;132.22;12.99;
S;074;1;10.17;16.42;
D;20482906;高露洁360度牙膏165g支;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;20482916;高露洁360度牙膏100g支;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;20500218;高露洁适齿牙刷买2送2(软毛)袋;605;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;20571663;高露洁防蛀美白90g双支装8折;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;20649985;高露洁防蛀美白7.5折140g;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;20652223;高露洁超洁护龈牙刷2送1;605;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;20673992;高露洁360度深层清洁牙刷送360度软毛牙刷支;605;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;20673994;高露洁超强90克送30克支;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;20674010;高露洁草本翠爽牙膏90g送30g支;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;20943050;高露洁360度牙膏165g加1元送牙刷1支盒;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21007983;高露洁牙刷冰爽清香支;605;
S;028;11;99.66;13.47;
S;054;7;63.42;13.47;
S;074;4;36.24;13.47;
D;21050060;高露洁牙膏健白防蛀200g支;604;
S;028;11;136.32;21.41;
S;054;7;86.75;21.41;
S;074;2;24.79;21.42;
D;21050062;高露洁牙膏健白防蛀140g支;604;
S;028;15;139.74;21.64;
S;054;4;37.26;21.63;
S;074;2;18.63;21.63;
D;21189711;高露洁冰爽劲白牙刷单支装;605;
S;028;2;18.12;13.36;
S;054;1;9.06;13.36;
S;074;2;18.12;13.36;
D;21190838;高露洁贝齿美白漱口水500ml瓶;607;
S;028;7;172.91;14.34;
S;054;0;0;;
S;074;0;0;;
D;21191126;高露洁贝齿美白漱口水250ml;607;
S;028;2;28.21;14.99;
S;054;1;14.1;14.96;
S;074;0;0;;
D;21254691;高露洁牙刷360炫动舒适支;605;
S;028;1;11.79;14.16;
S;054;0;0;;
S;074;1;11.79;14.16;
D;21339746;高露洁牙膏360度健康牙龈180g支;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21339748;高露洁健洁牙膏360度180g;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21339750;高露洁牙膏360度健龈120g;604;
S;028;0;0;;
S;054;2;18.63;14.87;
S;074;0;0;;
D;21339752;高露洁牙膏360度健洁120g;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21344991;高露洁牙膏健白防蛀7折装140g支;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21344995;高露洁牙膏全面防蛀冰凉薄荷7折装140g;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21344997;高露洁牙膏全面防蛀清新7折装140g支;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21399429;高露洁牙刷360舒适旋动6折双支装;605;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21406463;高露洁漱口水贝齿护敏250ml;607;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21406959;高露洁漱口水贝齿护敏500ml;607;
